name,type,lat,lon
BNI,bank,-6.20151,106.82348
BRI,bank,-6.206,106.81747
Bank BNI,bank,-6.20152,106.82355
Bank Central Asia,bank,-6.2052,106.82316
Bank Mandiri,bank,-6.19755,106.82528
Bank Mandiri Syariah,bank,-6.20158,106.82354
Bank Mega,bank,-6.20042,106.82249
HSBC,bank,-6.20375,106.82058
ICBC,bank,-6.19883,106.82349
Mandiri Syariah,bank,-6.20158,106.82346
Panin,bank,-6.19815,106.82275
PermataBank,bank,-6.19852,106.82279
State Bank of India Indonesia,bank,-6.19709,106.8244
UOB,bank,-6.19941,106.82266
Alfamart,convenience,-6.20226,106.82329
Alfamidi,convenience,-6.20097,106.82354
Business Mart,convenience,-6.20596,106.81811
Circle K,convenience,-6.20722,106.82696
FamilyMart,convenience,-6.20211,106.82337
Indomaret,convenience,-6.19926,106.82362
Lawson,convenience,-6.20235,106.82362
1/15 Coffe Menteng,food,-6.19771,106.82403
American Grill,food,-6.19999,106.82265
Ayam & Bebek Kremes Kriuuuk,food,-6.19723,106.81742
Cafe 99,food,-6.19755,106.81741
Dapoer Epu,food,-6.19981,106.8241
Dapur Cianjur - Thamrin Residences,food,-6.1971,106.81742
Difabis Coffee And Tea,food,-6.20211,106.82252
Difabis Coffee and Tea,food,-6.20211,106.82253
Disenja Coffee,food,-6.20228,106.82318
Fore Coffee,food,-6.19779,106.81747
Foresthree,food,-6.20165,106.82344
Gioi,food,-6.19742,106.8239
Gioi Menteng,food,-6.19739,106.82386
Harum Manis,food,-6.20796,106.81787
Ikan Tude Manado,food,-6.20197,106.82341
J.Co,food,-6.20142,106.82348
"JIA, Shangri-La Jakarta",food,-6.20306,106.81889
Janji Jiwa,food,-6.20136,106.82241
Kalasey,food,-6.20115,106.82234
Kampung Makan,food,-6.20237,106.82459
Kopi Kenangan,food,-6.20538,106.81744
Koultoura Coffee,food,-6.20779,106.81771
La Boheme - Karet Kuningan,food,-6.20684,106.82472
Lanna Thai,food,-6.19739,106.82389
Lapo Siagian Boru Tobing,food,-6.20654,106.81729
Metro,food,-6.20107,106.82235
Mie Keriting Luwes,food,-6.20239,106.82454
Nagomi Gastrol Lounge,food,-6.20018,106.8237
"Nishimura, Shangri-La Jakarta",food,-6.20304,106.8189
Pastis,food,-6.20736,106.82762
Pison - Kebon Melati,food,-6.19767,106.82257
"Rosso, Shangri-La Jakarta",food,-6.2031,106.81882
Starbucks,food,-6.20186,106.82081
TOMORO COFFEE - Wisma BumiPutera,food,-6.20743,106.82331
The Chateau,food,-6.20209,106.82345
"Toko Kopi TUKU - MRT, Dukuh Atas",food,-6.20205,106.82228
Toko Kopi Tuku - Dukuh Atas,food,-6.2021,106.82246
Tony Roma's,food,-6.19899,106.82267
Waki,food,-6.20123,106.82232
Warteg Putra Bahari,food,-6.20026,106.82029
Warung Bebek Notaris,food,-6.20256,106.82538
Warung Nasi,food,-6.20056,106.82436
Warung Nasi Bu Kus,food,-6.201,106.82423
Warung Nasi Gado-Gado,food,-6.20047,106.82449
Warung Tongseng Ojolali,food,-6.20241,106.82462
Warung bebek notaris,food,-6.20255,106.82537
AI Hotel,hotel,-6.19982,106.82259
All Seasons Hotel,hotel,-6.2014,106.82219
Clay Hotel,hotel,-6.20069,106.82369
Hotel Studio One,hotel,-6.20151,106.82094
Liberty Hotel,hotel,-6.19999,106.82233
Luxeur Setiabudi,hotel,-6.2075,106.82444
Oakwood Suites,hotel,-6.20751,106.82744
Odua Thamrin Jakarta,hotel,-6.2025,106.82513
PassGo Thamrin (capsules),hotel,-6.20043,106.82068
Reddoorz Plus Thamrin,hotel,-6.2009,106.82359
RoomMe Menteng Welerie 7,hotel,-6.20118,106.82493
Sagitarius Hotel & Spa,hotel,-6.20107,106.82193
Shangri-La Hotel,hotel,-6.20308,106.8188
Smart Hotel,hotel,-6.20003,106.82255
St. Regis,hotel,-6.20651,106.82767
Tondi,hotel,-6.20192,106.82348
W Home Reserva | Setiabudi,hotel,-6.20697,106.82456
Agora Mall,mall,-6.19837,106.82139
Dukuh Atas Skatepark,park,-6.20387,106.82283
Jakarta Creative Zone Riverview,park,-6.20219,106.82177
Taman Dukuh Atas,park,-6.20092,106.82274
Taman Kudus,park,-6.20236,106.82481
Taman Lawang,park,-6.20111,106.82698
Taman Panarukan,park,-6.19684,106.82626
Taman Sumenep,park,-6.20127,106.82655
Taman Viaduct Latuharhary,park,-6.20237,106.82761
BNI City,station,-6.20159,106.81972
Dukuh Atas BNI,station,-6.2008,106.82279
Dukuh Atas Bank Syariah Indonesia,station,-6.20483,106.82553
Sudirman,station,-6.20241,106.82345
Warung,supermarket,-6.20053,106.82423
AL-Falah,worship,-6.19782,106.82418
GBI Glow Fellowship Centre,worship,-6.19777,106.81716
Gereja,worship,-6.20081,106.8247
Gereja Punguan Kristen Batak,worship,-6.19811,106.8281
Masjid Al-Abror,worship,-6.2079,106.82567
Masjid Al-I'tisham,worship,-6.20495,106.81866
Masjid Al-Tihad,worship,-6.20802,106.81951
Masjid Jami Al-Falah,worship,-6.20075,106.82398
Masjid Jami' Al-Amal,worship,-6.20709,106.82337
Masjid Jami' Al-Muttaqien,worship,-6.20663,106.819
Masjid Jami' An-Najah,worship,-6.20027,106.81896
Masjid Jami'e Darussalam,worship,-6.19916,106.81952
