street_name,total_len_m,sidewalk_len_m,sidewalk_pct,mean_width_m,mean_shade
Jalan Martapura,196.5,196.5,100.0,,
Jalan Talang Betutu,290.5,290.5,100.0,,
Jalan Kota Bumi,289.7,289.7,100.0,,
Jalan Bendungan Hilir,1444.7,1444.7,100.0,,
Jalan Danau Tondano,214.1,214.1,100.0,,
Jalan Kyai Haji Mas Mansyur,1199.1,1199.1,100.0,,
Jalan Karet Pasar Baru Timur V,598.8,598.8,100.0,,
Jalan Setiabudi Raya,305.4,305.4,100.0,,
Jalan Kudus,195.4,195.4,100.0,,
Jalan Pati,105.4,105.4,100.0,,
Jalan Bendungan Jati Luhur,611.5,611.5,100.0,,
Jalan Danau Toba,259.0,259.0,100.0,,
Jalan Setiabudi Barat,466.7,466.7,100.0,,
Jalan Taman Setiabudi I,140.8,140.8,100.0,,
Jalan Taman Setiabudi II,68.1,68.1,100.0,,
Jalan Karet Pasar Baru Barat V,49.3,49.3,100.0,,
Jalan Penjernihan 2,151.8,151.8,100.0,,
Jalan Purworejo,595.4,595.4,100.0,,
Jalan Plaza Timur,462.9,462.9,100.0,,
Jalan Juana,76.2,76.2,100.0,,
Jalan M. Mashabi,101.4,101.4,100.0,,
Jalan Kendal,583.9,424.3,72.7,,
Jalan Teluk Betung,168.8,120.8,71.6,,
(unnamed),30795.6,19196.6,62.3,,
Jalan Blora,259.3,160.3,61.8,,
Jalan Karet Pedurenan Raya,676.5,0,0.0,,
Jalan Kebon Sayur,311.5,0,0.0,,
Jalan Rembang,283.6,0,0.0,,
Jalan Bendungan Hilir Gang 11,130.4,0,0.0,,
Jalan Bendungan Hilir XIV,322.9,0,0.0,,
Jalan Karet Pasar Baru Barat I,651.2,0,0.0,,
Gang Kebon Kacang XLIV,165.7,0,0.0,,
Gang Kebon Kacang XLV,50.6,0,0.0,,
Jalan Pasar Baru Timur V,451.5,0,0.0,,
Jembatan Penyeberangan Multiguna Dukuh Atas,144.9,0,0.0,,
Jalan Haji Sidik,399.7,0,0.0,,
Jalan Blumbang,145.4,0,0.0,,
Jalan Anggrek I,258.7,0,0.0,,
Jalan Q,176.1,0,0.0,,
Jalan Kebon Kacang IX,394.1,0,0.0,,
Jalan Dukuh Pinggir V,279.2,0,0.0,,
Jalan Danau Brantan,142.7,0,0.0,,
Jalan Danau Batur,127.1,0,0.0,,
Jalan Administrasi,398.9,0,0.0,,
Jembatan Penyeberangan Orang Semanggi,428.5,0,0.0,,
Jalan Baturaja,351.8,0,0.0,,
Jalan Teladan,179.5,0,0.0,,
Jalan Perintis,335.5,0,0.0,,
Jalan BB,144.6,0,0.0,,
Jalan Dukuh Pinggir IV,319.9,0,0.0,,
Jalan Kota Bumi Ujung,124.8,0,0.0,,
Jalan Martapura II,103.0,0,0.0,,
Jalan Martapura IV,111.8,0,0.0,,
Jalan Martapura I,138.9,0,0.0,,
Jalan Talang Betutu Ujung,203.9,0,0.0,,
Jalan Petamburan,1107.2,0,0.0,,
Jalan Bendungan Hilir XVII,126.4,0,0.0,,
Jalan Bendungan Jati Luhur IV,51.6,0,0.0,,
Jalan Komando III,50.7,0,0.0,,
Jalan Awaludin II,229.8,0,0.0,,
Gang Riban,24.9,0,0.0,,
Jalan Bendungan Hilir Gang 12,129.0,0,0.0,,
Jalan Karet Karya IV BB,41.5,0,0.0,,
Transjakarta Busway Koridor 1,1810.3,0,0.0,,
Jembatan Penyeberangan Orang Dukuh Atas,15.7,0,0.0,,
Gang Kecil,94.9,0,0.0,,
Gang Kecil 2,39.1,0,0.0,,
Gang Kecil 3,68.0,0,0.0,,
